Entity,Year,Life expectancy - Type: period - Sex: both - Age: 0
Iceland,1860,19.84
Netherlands,1860,37
Norway,1860,49.99
Scotland,1860,41.49
Sweden,1860,48.46
Belgium,1861,41.25
Denmark,1861,47.62
England and Wales,1861,42.31
France,1861,40.58
Iceland,1861,27.18
Netherlands,1861,36.51
Norway,1861,45.81
Scotland,1861,44.03
Sweden,1861,47.19
Belgium,1862,43.1
Denmark,1862,47.59
England and Wales,1862,42.47
France,1862,42.7
Iceland,1862,27.1
Netherlands,1862,38.37
Norway,1862,44.71
Scotland,1862,42.58
Sweden,1862,42.7
Belgium,1863,41.29
Denmark,1863,47.55
England and Wales,1863,40.36
France,1863,41.82
Iceland,1863,35.22
Netherlands,1863,38.31
Norway,1863,46.71
Scotland,1863,40.67
Sweden,1863,45.5
Belgium,1864,39.8
Denmark,1864,40.2
England and Wales,1864,39.93
France,1864,42.06
Iceland,1864,34.97
Netherlands,1864,37.65
Norway,1864,48.78
Scotland,1864,40.18
Sweden,1864,44.81
Belgium,1865,37.73
Denmark,1865,39.8
England and Wales,1865,40.62
France,1865,40.2
Iceland,1865,34.24
Netherlands,1865,36.47
Norway,1865,50.42
Scotland,1865,41.96
Sweden,1865,45.45
Belgium,1866,32.47
Denmark,1866,42.9
England and Wales,1866,40.38
France,1866,41.82
Iceland,1866,27.28
Netherlands,1866,33.69
Norway,1866,49.91
Scotland,1866,42.29
Sweden,1866,44.84
Belgium,1867,43.05
Denmark,1867,44.92
England and Wales,1867,42.58
France,1867,42.41
Iceland,1867,37.67
Netherlands,1867,39.3
Norway,1867,47.87
Scotland,1867,43.57
Sweden,1867,46.27
Belgium,1868,42.55
Denmark,1868,45.64
England and Wales,1868,41.97
France,1868,40.29
Iceland,1868,34.79
Netherlands,1868,37.78
Norway,1868,47.18
Scotland,1868,43.41
Sweden,1868,43.32
Belgium,1869,42.59
Denmark,1869,46.1
England and Wales,1869,41.62
France,1869,41.12
Iceland,1869,28.17
Netherlands,1869,40.43
Norway,1869,49.26
Scotland,1869,41.18
Sweden,1869,41.01
Belgium,1870,40.92
Denmark,1870,46
England and Wales,1870,40.91
France,1870,36.52
Iceland,1870,38.44
Netherlands,1870,37.54
Norway,1870,50.86
Scotland,1870,41.84
Sweden,1870,45.02
Belgium,1871,34.36
Denmark,1871,46.08
England and Wales,1871,41.28
France,1871,29.74
Iceland,1871,35.13
Netherlands,1871,33.01
Norway,1871,49.67
Scotland,1871,41.47
Sweden,1871,48.91
Belgium,1872,40.04
Denmark,1872,47.44
England and Wales,1872,42.87
France,1872,42.5
Iceland,1872,25.31
Italy,1872,29.76
Netherlands,1872,36.47
Norway,1872,50.02
Scotland,1872,41.75
Sweden,1872,49.94
Belgium,1873,43.49
Denmark,1873,47.5
England and Wales,1873,43.74
France,1873,41.87
Iceland,1873,36.69
Italy,1873,31.66
Netherlands,1873,39.27
Norway,1873,49.68
Scotland,1873,42.11
Sweden,1873,48.56
Belgium,1874,44.68
Denmark,1874,46.04
England and Wales,1874,42.07
France,1874,44.29
Iceland,1874,39.63
Italy,1874,31.81
Netherlands,1874,41.3
Norway,1874,47.77
Scotland,1874,40.59
Sweden,1874,44.15
Belgium,1875,42.17
Denmark,1875,44.48
England and Wales,1875,41.81
France,1875,43.19
Iceland,1875,36.61
Italy,1875,31.39
Netherlands,1875,38.34
Norway,1875,47.63
Scotland,1875,40.93
Sweden,1875,44.47
Belgium,1876,43.67
Denmark,1876,45.85
England and Wales,1876,43.65
France,1876,43.59
Iceland,1876,40.34
Italy,1876,33.67
Netherlands,1876,40.46
Norway,1876,46.82
Scotland,1876,43.74
Sweden,1876,44.77
Switzerland,1876,40.19
Belgium,1877,44.48
Denmark,1877,47.36
England and Wales,1877,44.67
France,1877,44.29
Iceland,1877,44.69
Italy,1877,34.96
Netherlands,1877,42.08
Norway,1877,49.75
Scotland,1877,44.52
Sweden,1877,46.06
Switzerland,1877,39.99
Belgium,1878,44.23
Denmark,1878,47.57
England and Wales,1878,42.98
Finland,1878,39.34
France,1878,43.37
Iceland,1878,41.37
Italy,1878,34.39
Netherlands,1878,41.09
Norway,1878,51.78
Scotland,1878,43.57
Sweden,1878,46.8
Switzerland,1878,40.57
Belgium,1879,43.83
Denmark,1879,46.25
England and Wales,1879,44.22
Finland,1879,44.91
France,1879,43.98
Iceland,1879,39.49
Italy,1879,34.01
Netherlands,1879,41.98
Norway,1879,53.14
Scotland,1879,45.28
Sweden,1879,49.02
Switzerland,1879,41.83
Belgium,1880,42.49
Denmark,1880,44.79
England and Wales,1880,43.73
Finland,1880,39.7
France,1880,42.79
Iceland,1880,42.41
Italy,1880,32.82
Netherlands,1880,40.41
Norway,1880,51.89
Scotland,1880,43.89
Sweden,1880,47.67
Switzerland,1880,42.47
Belgium,1881,44.42
Denmark,1881,48.28
England and Wales,1881,46.08
Finland,1881,37.7
France,1881,43.48
Iceland,1881,35.96
Italy,1881,34.27
Netherlands,1881,42.89
Norway,1881,50.44
Scotland,1881,45.46
Sweden,1881,48.42
Switzerland,1881,41.94
Belgium,1882,45.55
Denmark,1882,46.7
England and Wales,1882,44.83
Finland,1882,40.31
France,1882,43.14
Iceland,1882,17.94
Italy,1882,34.35
Netherlands,1882,43.8
Norway,1882,47.38
Scotland,1882,45.23
Sweden,1882,48.41
Switzerland,1882,43.02
Belgium,1883,44.9
Denmark,1883,48.51
England and Wales,1883,45.05
Finland,1883,42.75
France,1883,43.27
Iceland,1883,29.78
Italy,1883,35.23
Netherlands,1883,42.36
Norway,1883,49.59
Scotland,1883,44.42
Sweden,1883,48.82
Switzerland,1883,45.02
Belgium,1884,44.23
Denmark,1884,48.52
England and Wales,1884,44.74
Finland,1884,42.88
France,1884,42.46
Iceland,1884,42.11
Italy,1884,36.67
Netherlands,1884,41.34
Norway,1884,50.76
Scotland,1884,45.06
Sweden,1884,49
Switzerland,1884,45.07
Belgium,1885,45.47
Denmark,1885,49.62
England and Wales,1885,45.72
Finland,1885,41.28
France,1885,43.94
Iceland,1885,45.64
Italy,1885,36.92
Netherlands,1885,43.28
Norway,1885,51.04
Scotland,1885,45.66
Sweden,1885,48.83
Switzerland,1885,43.92
Belgium,1886,43.35
Denmark,1886,48.97
England and Wales,1886,45.29
Finland,1886,40.87
France,1886,43.17
Iceland,1886,45.05
Italy,1886,35.18
Netherlands,1886,41.98
Norway,1886,51.7
Scotland,1886,46.33
Sweden,1886,50.52
Switzerland,1886,44.75
Belgium,1887,46.05
Denmark,1887,48.67
England and Wales,1887,45.62
Finland,1887,45.54
France,1887,43.72
Iceland,1887,40.69
Italy,1887,36.05
Netherlands,1887,44.98
Norway,1887,51.67
Scotland,1887,45.89
Sweden,1887,51.39
Switzerland,1887,45.46
Belgium,1888,44.92
Denmark,1888,46.69
England and Wales,1888,46.78
Finland,1888,45.19
France,1888,44.15
Iceland,1888,46.76
Italy,1888,37.02
Netherlands,1888,44.23
Norway,1888,50.37
Scotland,1888,47.43
Sweden,1888,52.25
Switzerland,1888,46
Belgium,1889,45.07
Denmark,1889,47.81
England and Wales,1889,46.31
Finland,1889,44.92
France,1889,45.54
Iceland,1889,52.51
Italy,1889,39.13
Netherlands,1889,44.37
Norway,1889,49.07
Scotland,1889,46.52
Sweden,1889,52.23
Switzerland,1889,45.18
Belgium,1890,44.14
Denmark,1890,47.27
England and Wales,1890,44.72
Finland,1890,44.61
France,1890,43.43
Iceland,1890,36.76
Italy,1890,38.58
Netherlands,1890,44.42
Norway,1890,48.61
Scotland,1890,44.48
Sweden,1890,50.44
Switzerland,1890,45.01
Belgium,1891,44.04
Denmark,1891,46.78
England and Wales,1891,44.24
Finland,1891,42.61
France,1891,44.11
Iceland,1891,47.33
Italy,1891,38.55
Netherlands,1891,44.27
Norway,1891,49.8
Scotland,1891,43.95
Sweden,1891,51.02
Switzerland,1891,44.81
Belgium,1892,43.16
Denmark,1892,47.4
England and Wales,1892,45.46
Finland,1892,39.77
France,1892,43.56
Iceland,1892,52.79
Italy,1892,38.93
Netherlands,1892,43.95
Norway,1892,49.67
Scotland,1892,46.31
Sweden,1892,50.47
Switzerland,1892,47.2
Belgium,1893,44.44
Denmark,1893,47.08
England and Wales,1893,44.83
Finland,1893,43.35
France,1893,43.55
Iceland,1893,52.57
Italy,1893,39.88
Netherlands,1893,45.86
Norway,1893,51.39
Scotland,1893,44.83
Sweden,1893,51.16
Switzerland,1893,46.08
Belgium,1894,46.63
Denmark,1894,49.38
England and Wales,1894,48.3
Finland,1894,45.18
France,1894,45.49
Iceland,1894,44.8
Italy,1894,40
Netherlands,1894,46.99
Norway,1894,50.62
Scotland,1894,48.08
Sweden,1894,51.89
Switzerland,1894,45.85
Belgium,1895,45.48
Denmark,1895,50.86
England and Wales,1895,45.69
Finland,1895,47.61
France,1895,45.26
Iceland,1895,52.37
Italy,1895,39.69
Netherlands,1895,46.73
Norway,1895,52.79
Scotland,1895,45.1
Sweden,1895,54.01
Switzerland,1895,46.93
Belgium,1896,48.07
Denmark,1896,52.92
England and Wales,1896,47.37
Finland,1896,46.52
France,1896,47.49
Iceland,1896,53.17
Italy,1896,40.76
Netherlands,1896,48.56
Norway,1896,53.82
Scotland,1896,48.7
Sweden,1896,53.34
Switzerland,1896,48.87
Belgium,1897,48.84
Denmark,1897,51.8
England and Wales,1897,47.19
Finland,1897,48.11
France,1897,47.88
Iceland,1897,48.58
Italy,1897,43.35
Netherlands,1897,49.43
Norway,1897,53.71
Scotland,1897,46.33
Sweden,1897,54
Switzerland,1897,49.1
Belgium,1898,48.12
Denmark,1898,53.11
England and Wales,1898,46.96
Finland,1898,48.07
France,1898,46.01
Iceland,1898,44.35
Italy,1898,42.38
Netherlands,1898,49.11
Norway,1898,53.95
Scotland,1898,46.66
Sweden,1898,54.59
Switzerland,1898,48.26
Belgium,1899,46.5
Denmark,1899,50.67
England and Wales,1899,46.12
Finland,1899,44.35
France,1899,45.17
Iceland,1899,49.75
Italy,1899,43.71
Netherlands,1899,49.36
Norway,1899,51.61
Scotland,1899,46.86
Sweden,1899,50.9
Switzerland,1899,49.31
Belgium,1900,46.69
Denmark,1900,51.9
England and Wales,1900,46.3
Finland,1900,41.81
France,1900,45.1
Iceland,1900,46.59
Italy,1900,41.85
Netherlands,1900,48.48
Norway,1900,53.47
Scotland,1900,46.43
Sweden,1900,52.23
Switzerland,1900,47.59
Belgium,1901,49.44
Denmark,1901,52.66
England and Wales,1901,47.89
Finland,1901,42.84
France,1901,47
Iceland,1901,52.93
Italy,1901,43.64
Netherlands,1901,48.75
Norway,1901,54.59
Scotland,1901,46.73
Sweden,1901,52.88
Switzerland,1901,48.97
Belgium,1902,49.14
Denmark,1902,54.68
England and Wales,1902,49.05
Finland,1902,46.21
France,1902,47.98
Iceland,1902,50.93
Italy,1902,43.01
Netherlands,1902,50.65
Norway,1902,56.47
Scotland,1902,48.23
Sweden,1902,54.7
Switzerland,1902,50.44
Belgium,1903,49.23
Denmark,1903,54.83
England and Wales,1903,50.39
Finland,1903,46.56
France,1903,48.4
Iceland,1903,48.7
Italy,1903,43.2
Netherlands,1903,51.54
Norway,1903,54.96
Scotland,1903,48.99
Sweden,1903,54.98
Switzerland,1903,50.08
Belgium,1904,49.27
Denmark,1904,55.7
England and Wales,1904,49.09
Finland,1904,47.19
France,1904,48.07
Iceland,1904,52.67
Italy,1904,44.4
Netherlands,1904,50.87
Norway,1904,56.07
Scotland,1904,48.48
Sweden,1904,55.27
Switzerland,1904,49.23
Belgium,1905,50.03
Denmark,1905,54.37
England and Wales,1905,50.83
Finland,1905,46.05
France,1905,48.38
Iceland,1905,49.45
Italy,1905,43.99
Netherlands,1905,52.1
Norway,1905,55.09
Scotland,1905,49.71
Sweden,1905,54.42
Switzerland,1905,49.69
Belgium,1906,49.67
Denmark,1906,56.47
England and Wales,1906,50.56
Finland,1906,47.03
France,1906,47.73
Iceland,1906,53.51
Italy,1906,45.11
Netherlands,1906,52.78
Norway,1906,56.9
Scotland,1906,49.75
Sweden,1906,56.56
Switzerland,1906,50.75
Belgium,1907,51.07
Denmark,1907,56.1
England and Wales,1907,51.41
Finland,1907,46.96
France,1907,48.3
Iceland,1907,49.76
Italy,1907,45.48
Netherlands,1907,53.51
Norway,1907,56.48
Scotland,1907,49.46
Sweden,1907,56.87
Switzerland,1907,51.19
Belgium,1908,49.72
Denmark,1908,54.96
England and Wales,1908,51.81
Finland,1908,46.09
France,1908,49.29
Iceland,1908,45.71
Italy,1908,43.11
Netherlands,1908,52.77
Norway,1908,56.28
Scotland,1908,49.18
Spain,1908,41.41
Sweden,1908,56.33
Switzerland,1908,52.29
Belgium,1909,50.66
Denmark,1909,57.36
England and Wales,1909,52.48
Finland,1909,48.69
France,1909,50.01
Iceland,1909,52.46
Italy,1909,44.8
Netherlands,1909,54.92
Norway,1909,57.46
Scotland,1909,50.69
Spain,1909,41
Sweden,1909,58.34
Switzerland,1909,51.65
Belgium,1910,51.31
Denmark,1910,58.04
England and Wales,1910,53.95
Finland,1910,48.49
France,1910,51.35
Iceland,1910,52.64
Italy,1910,46.72
Netherlands,1910,55.14
Norway,1910,57.98
Scotland,1910,51.29
Spain,1910,40.84
Sweden,1910,57.74
Switzerland,1910,52.93
Belgium,1911,49.28
Denmark,1911,56.96
England and Wales,1911,51.51
Finland,1911,48.72
France,1911,48.21
Iceland,1911,55.39
Italy,1911,44.83
Netherlands,1911,53.18
Norway,1911,58.01
Scotland,1911,51.5
Spain,1911,39.79
Sweden,1911,57.99
Switzerland,1911,51.77
Belgium,1912,52.25
Denmark,1912,58.01
England and Wales,1912,54.51
Finland,1912,49.12
France,1912,51.55
Iceland,1912,55.99
Italy,1912,48.85
Netherlands,1912,57.14
Norway,1912,57.73
Scotland,1912,51.65
Spain,1912,43.43
Sweden,1912,57.73
Switzerland,1912,54.4
Belgium,1913,52.45
Denmark,1913,58.88
England and Wales,1913,53.79
Finland,1913,49.04
France,1913,51.36
Iceland,1913,58.94
Italy,1913,48.49
Netherlands,1913,57.35
Norway,1913,58.31
Scotland,1913,51.5
Spain,1913,42.61
Sweden,1913,58.59
Switzerland,1913,54.23
Denmark,1914,58.46
England and Wales,1914,52
Finland,1914,49.73
France,1914,38.23
Iceland,1914,51.91
Italy,1914,49.86
Netherlands,1914,57.19
Norway,1914,57.79
Scotland,1914,51.35
Spain,1914,42.78
Sweden,1914,58.15
Switzerland,1914,55.11
Denmark,1915,58.4
England and Wales,1915,48.3
Finland,1915,49.56
France,1915,36.55
Iceland,1915,53.52
Italy,1915,42.63
Netherlands,1915,57.24
Norway,1915,58.16
Scotland,1915,48.92
Spain,1915,43.09
Sweden,1915,57.1
Switzerland,1915,55.91
Denmark,1916,56.91
England and Wales,1916,48
Finland,1916,47.98
France,1916,39.75
Iceland,1916,54.41
Italy,1916,39.71
Netherlands,1916,56.16
Norway,1916,57.23
Scotland,1916,52.73
Spain,1916,43.91
Sweden,1916,58.12
Switzerland,1916,56.52
Denmark,1917,57.25
England and Wales,1917,46
Finland,1917,46.54
France,1917,42.97
Iceland,1917,59
Italy,1917,38.08
Netherlands,1917,55.65
Norway,1917,57.71
Scotland,1917,52.62
Spain,1917,42.6
Sweden,1917,58.8
Switzerland,1917,55.77
Denmark,1918,56.22
England and Wales,1918,40.9
Finland,1918,32.85
France,1918,34.84
Iceland,1918,51.07
Italy,1918,25.82
Netherlands,1918,47.63
Norway,1918,50.32
Scotland,1918,48.87
Spain,1918,30.36
Sweden,1918,49.72
Switzerland,1918,46.3
Belgium,1919,49.26
Denmark,1919,56.88
England and Wales,1919,54.08
Finland,1919,42.81
France,1919,47.14
Iceland,1919,58.46
Italy,1919,41.7
Netherlands,1919,54.78
Norway,1919,56.79
Scotland,1919,50.8
Spain,1919,40.95
Sweden,1919,56.42
Switzerland,1919,54.83
Belgium,1920,54.01
Denmark,1920,57.71
England and Wales,1920,56.52
Finland,1920,47.68
France,1920,51.82
Iceland,1920,54.63
Italy,1920,45.82
Netherlands,1920,57.98
Norway,1920,58.85
Scotland,1920,53.96
Spain,1920,39.38
Sweden,1920,58.91
Switzerland,1920,54.5
Australia,1921,60.97
Belgium,1921,54.66
Canada,1921,57.1
Denmark,1921,61.66
England and Wales,1921,58.24
Finland,1921,52.4
France,1921,52.69
Iceland,1921,54.13
Italy,1921,49.17
Netherlands,1921,59.71
Norway,1921,61.57
Scotland,1921,55.92
Spain,1921,41.99
Sweden,1921,60.98
Switzerland,1921,57.77
Australia,1922,62.83
Belgium,1922,55.19
Canada,1922,57.08
Denmark,1922,60.64
England and Wales,1922,57.59
Finland,1922,51.93
France,1922,54.89
Iceland,1922,56.89
Italy,1922,50.12
Netherlands,1922,59.78
Northern Ireland,1922,54.43
Norway,1922,60.78
Scotland,1922,53.66
Spain,1922,44.2
Sweden,1922,61.07
Switzerland,1922,58.48
United Kingdom,1922,57.02
Australia,1923,61.68
Belgium,1923,56.7
Canada,1923,56.96
Denmark,1923,61.15
England and Wales,1923,59.69
Finland,1923,52.48
France,1923,54.59
Iceland,1923,57.68
Italy,1923,51.48
Netherlands,1923,62
Northern Ireland,1923,55.55
Norway,1923,61.8
Scotland,1923,57.33
Spain,1923,44.75
Sweden,1923,62.91
Switzerland,1923,59.98
United Kingdom,1923,59.3
Australia,1924,62.48
Belgium,1924,57.4
Canada,1924,58.75
Denmark,1924,61.09
England and Wales,1924,58.7
Finland,1924,50.26
France,1924,55.19
Iceland,1924,54.08
Italy,1924,51.53
Netherlands,1924,62.88
Northern Ireland,1924,54.19
Norway,1924,62.11
Scotland,1924,54.66
Spain,1924,46.3
Sweden,1924,61.94
Switzerland,1924,59.47
United Kingdom,1924,58.07
Australia,1925,63.17
Belgium,1925,57.12
Canada,1925,59.26
Denmark,1925,61.91
England and Wales,1925,58.85
Finland,1925,53.36
France,1925,54.35
Iceland,1925,58.22
Italy,1925,51.28
Netherlands,1925,63.12
Northern Ireland,1925,54.4
Norway,1925,62.51
Scotland,1925,56.32
Spain,1925,46.98
Sweden,1925,62.51
Switzerland,1925,59.91
United Kingdom,1925,58.42
Australia,1926,62.88
Belgium,1926,56.88
Canada,1926,57.95
Denmark,1926,61.67
England and Wales,1926,60.03
Finland,1926,53.79
France,1926,53.96
Iceland,1926,60.72
Italy,1926,50.96
Netherlands,1926,62.98
Northern Ireland,1926,55.24
Norway,1926,63.25
Scotland,1926,57.19
Spain,1926,47.7
Sweden,1926,62.74
Switzerland,1926,60.59
United Kingdom,1926,59.56
Australia,1927,62.84
Belgium,1927,57.11
Canada,1927,58.61
Denmark,1927,61.19
England and Wales,1927,59.32
Finland,1927,51.83
France,1927,55.74
Iceland,1927,58.09
Italy,1927,52.57
Netherlands,1927,62.61
Northern Ireland,1927,56.72
Norway,1927,62.85
Scotland,1927,56.78
Spain,1927,48.48
Sweden,1927,61.56
Switzerland,1927,60.09
United Kingdom,1927,58.95
Australia,1928,62.91
Belgium,1928,57.47
Canada,1928,58.55
Denmark,1928,61.84
England and Wales,1928,60.44
Finland,1928,53.69
France,1928,55.41
Iceland,1928,61.71
Italy,1928,52.66
Netherlands,1928,63.71
Northern Ireland,1928,56.89
Norway,1928,63.4
Scotland,1928,56.86
Spain,1928,48.62
Sweden,1928,62.2
Switzerland,1928,60.43
United Kingdom,1928,59.91
Australia,1929,63.08
Belgium,1929,55.02
Canada,1929,57.94
Denmark,1929,61.96
England and Wales,1929,57.94
Finland,1929,51.32
France,1929,54.24
Iceland,1929,60.54
Italy,1929,52.27
Netherlands,1929,62.15
Northern Ireland,1929,55.14
Norway,1929,62.45
Scotland,1929,55.84
Spain,1929,49.49
Sweden,1929,62.29
Switzerland,1929,60.14
United Kingdom,1929,57.62
Australia,1930,64.9
Belgium,1930,57.1
Canada,1930,58.96
Denmark,1930,62.22
England and Wales,1930,61.29
Finland,1930,54.45
France,1930,56.8
Iceland,1930,60.18
Italy,1930,55.17
Netherlands,1930,64.66
Northern Ireland,1930,58.6
Norway,1930,64.1
Scotland,1930,57.54
Spain,1930,49.25
Sweden,1930,63.17
Switzerland,1930,61.4
United Kingdom,1930,60.77
Australia,1931,65.32
Belgium,1931,58.42
Canada,1931,60.27
Denmark,1931,61.87
England and Wales,1931,60.34
Finland,1931,54.86
France,1931,56.9
Iceland,1931,60.84
Italy,1931,54.8
Netherlands,1931,64.32
Northern Ireland,1931,57.63
Norway,1931,64.18
Scotland,1931,58.04
Spain,1931,49.28
Sweden,1931,62.71
Switzerland,1931,61.23
United Kingdom,1931,60
Australia,1932,65.6
Belgium,1932,58.54
Canada,1932,61.34
Denmark,1932,62.69
England and Wales,1932,61.02
Finland,1932,55.75
France,1932,57.22
Iceland,1932,62.08
Italy,1932,54.74
Netherlands,1932,65.39
Northern Ireland,1932,57.76
Norway,1932,64.59
Scotland,1932,57.56
Spain,1932,51.14
Sweden,1932,63.93
Switzerland,1932,61.2
United Kingdom,1932,60.52
Australia,1933,65.43
Belgium,1933,58.68
Canada,1933,62.28
Denmark,1933,63.58
England and Wales,1933,60.97
Finland,1933,55.39
France,1933,57.65
Iceland,1933,62.91
Italy,1933,56.25
Netherlands,1933,66.03
Northern Ireland,1933,57.12
Norway,1933,65.48
Scotland,1933,58.61
Spain,1933,51.6
Sweden,1933,64.8
Switzerland,1933,62.37
United Kingdom,1933,60.58
United States,1933,60.9
Australia,1934,64.79
Belgium,1934,60.31
Canada,1934,62.62
Denmark,1934,64.09
England and Wales,1934,61.74
Finland,1934,56
France,1934,58.3
Iceland,1934,63.35
Italy,1934,56.88
Netherlands,1934,66.6
